"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
21,"1","No Trucks","2025-01-24T10:51:52.724132Z",14420,"/data/upload/2/957de3db-img_302.jpg",6.586,"2025-01-24T10:51:52.724132Z"
22,"1","No Trucks","2025-01-24T10:51:59.867826Z",14421,"/data/upload/2/c59f3708-img_301.jpg",5.073,"2025-01-24T10:51:59.867826Z"
23,"1","No Trucks","2025-01-24T10:52:07.365800Z",14422,"/data/upload/2/fd2aedb6-img_300.jpg",4.744,"2025-01-24T10:52:07.365800Z"
24,"1","No Trucks","2025-01-24T10:52:12.624868Z",14423,"/data/upload/2/fe20eb94-img_319.jpg",3.422,"2025-01-24T10:52:12.624868Z"
25,"1","No Trucks","2025-01-24T10:52:21.423784Z",14424,"/data/upload/2/5270e3fc-img_318.jpg",6.665,"2025-01-24T10:52:21.423784Z"
26,"1","No Trucks","2025-01-24T10:53:15.523723Z",14425,"/data/upload/2/e10d5b58-img_317.jpg",42.941,"2025-01-24T10:53:15.523723Z"
27,"1","No Trucks","2025-01-24T10:53:25.274331Z",14426,"/data/upload/2/47be917a-img_316.jpg",8.104,"2025-01-24T10:53:25.274331Z"
28,"1","Trucks","2025-01-24T10:53:33.183611Z",14427,"/data/upload/2/61fb9bbc-img_315.jpg",5.214,"2025-01-24T10:53:33.183611Z"
29,"1","No Trucks","2025-01-24T10:53:39.928564Z",14428,"/data/upload/2/3acf7068-img_314.jpg",4.318,"2025-01-24T10:53:39.928564Z"
30,"1","No Trucks","2025-01-24T10:53:53.866326Z",14429,"/data/upload/2/36dd185c-img_313.jpg",6.769,"2025-01-24T10:53:53.866326Z"
31,"1","No Trucks","2025-01-24T10:54:05.808311Z",14430,"/data/upload/2/70c31170-img_312.jpg",10.103,"2025-01-24T10:54:05.808311Z"
32,"1","No Trucks","2025-01-24T10:54:16.516576Z",14431,"/data/upload/2/c2f44e09-img_311.jpg",8.489,"2025-01-24T10:54:16.516576Z"
33,"1","No Trucks","2025-01-24T10:54:27.556442Z",14432,"/data/upload/2/e5ead8f4-img_310.jpg",8.671,"2025-01-24T10:54:27.556442Z"
34,"1","No Trucks","2025-01-24T10:54:34.486920Z",14433,"/data/upload/2/645da753-img_309.jpg",5.293,"2025-01-24T10:54:34.486920Z"
35,"1","No Trucks","2025-01-24T10:54:46.920911Z",14434,"/data/upload/2/feeaa4e0-img_308.jpg",7.108,"2025-01-24T10:54:46.920911Z"
36,"1","Trucks","2025-01-24T10:54:53.581657Z",14435,"/data/upload/2/89b87ec0-img_307.jpg",4.887,"2025-01-24T10:54:53.581657Z"
37,"1","Trucks","2025-01-24T10:55:10.991204Z",14436,"/data/upload/2/42bffc07-img_306.jpg",15.624,"2025-01-24T10:55:10.991204Z"
38,"1","No Trucks","2025-01-24T10:55:16.396670Z",14437,"/data/upload/2/6cc16129-img_305.jpg",2.528,"2025-01-24T10:55:16.396670Z"
39,"1","Trucks","2025-01-24T10:55:23.536680Z",14438,"/data/upload/2/38d55178-img_304.jpg",5.199,"2025-01-24T10:55:23.536680Z"
40,"1","No Trucks","2025-01-24T10:55:35.045096Z",14439,"/data/upload/2/244cca03-img_303.jpg",9.195,"2025-01-24T10:55:35.045096Z"
